año,Estacion,semana epidemiologica,"AVERAGE de Temp, M","AVERAGE de Temp, m",AVERAGE de Precip,AVERAGE de Hum
2022,AZUL_Buenos Aires,19,"15,77","4,80","0,11","82,71"
2022,AZUL_Buenos Aires,20,"15,76","2,54","0,10","76,86"
2022,AZUL_Buenos Aires,21,"12,79","2,94","0,23","79,43"
2022,AZUL_Buenos Aires,22,"11,64","-2,56","0,00","77,86"
2022,AZUL_Buenos Aires,23,"15,11","-0,73","0,00","75,29"
2022,AZUL_Buenos Aires,24,"13,21","1,13","0,00","73,29"
2022,AZUL_Buenos Aires,25,"9,44","-2,54","0,00","82,14"
2022,AZUL_Buenos Aires,26,"14,16","1,04","0,49","73,00"
2022,AZUL_Buenos Aires,27,"13,61","1,27","0,00","75,29"
2022,AZUL_Buenos Aires,28,"12,69","1,46","0,09","78,14"
2022,AZUL_Buenos Aires,29,"14,79","1,20","0,04","76,43"
2022,AZUL_Buenos Aires,30,"16,21","6,29","5,00","82,43"
2022,AZUL_Buenos Aires,31,"14,04","2,24","0,00","83,00"
2022,AZUL_Buenos Aires,32,"16,64","2,80","4,50","77,43"
2022,AZUL_Buenos Aires,33,"14,99","2,60","1,29","65,29"
2022,AZUL_Buenos Aires,34,"17,71","2,50","0,43","72,57"
2022,AZUL_Buenos Aires,35,"19,01","2,37","0,00","64,57"
2022,AZUL_Buenos Aires,36,"19,01","2,00","0,86","65,71"
2022,AZUL_Buenos Aires,37,"21,80","6,14","0,57","67,00"
2022,AZUL_Buenos Aires,38,"18,06","4,44","0,71","68,86"
2022,AZUL_Buenos Aires,39,"21,03","2,11","0,00","63,14"
2022,AZUL_Buenos Aires,40,"20,31","4,49","1,03","67,29"
2022,AZUL_Buenos Aires,41,"20,71","2,00","0,00","57,86"
2022,AZUL_Buenos Aires,42,"21,69","6,10","1,43","71,57"
2022,AZUL_Buenos Aires,43,"22,44","10,46","9,36","73,71"
2022,AZUL_Buenos Aires,44,"23,61","5,54","0,00","62,71"
2022,AZUL_Buenos Aires,45,"25,76","11,29","5,57","69,14"
2022,AZUL_Buenos Aires,46,"26,29","13,54","10,14","73,86"
2022,AZUL_Buenos Aires,47,"26,26","11,97","0,00","65,43"
2022,AZUL_Buenos Aires,48,"29,26","13,76","3,29","67,29"
2022,AZUL_Buenos Aires,49,"33,04","16,26","3,00","57,86"
2022,AZUL_Buenos Aires,50,"27,70","10,71","0,43","56,00"
2022,AZUL_Buenos Aires,51,"29,43","13,61","4,43","64,14"
2022,AZUL_Buenos Aires,52,"31,38","13,20","1,25","52,63"
2022,BAHÍA BLANCA_Buenos Aires,1,"34,90","16,41","0,00","35,86"
2022,BAHÍA BLANCA_Buenos Aires,2,"37,74","22,11","0,71","41,57"
2022,BAHÍA BLANCA_Buenos Aires,3,"27,10","17,44","2,40","68,14"
2022,BAHÍA BLANCA_Buenos Aires,4,"32,19","16,13","0,00","48,14"
2022,BAHÍA BLANCA_Buenos Aires,5,"28,39","15,11","6,11","60,71"
2022,BAHÍA BLANCA_Buenos Aires,6,"28,76","12,61","2,29","58,29"
2022,BAHÍA BLANCA_Buenos Aires,7,"31,26","13,61","0,29","58,14"
2022,BAHÍA BLANCA_Buenos Aires,8,"26,99","14,90","1,49","66,57"
2022,BAHÍA BLANCA_Buenos Aires,9,"27,80","13,83","1,14","49,71"
2022,BAHÍA BLANCA_Buenos Aires,10,"26,66","11,37","0,00","57,43"
2022,BAHÍA BLANCA_Buenos Aires,11,"26,61","12,11","0,03","56,86"
2022,BAHÍA BLANCA_Buenos Aires,12,"21,49","12,69","22,04","80,57"
