Estacion,Año,Semana,TempMax,TempMin,Presion,Precipitacion,Humedad
9 DE JULIO_Buenos Aires,2019,1,"28,44","16,86","1.000,32","7,60","62,80"
9 DE JULIO_Buenos Aires,2019,2,"27,51","15,66","1.003,17","10,04","68,29"
9 DE JULIO_Buenos Aires,2019,3,"27,66","15,69","1.007,73","0,71","66,00"
9 DE JULIO_Buenos Aires,2019,4,"30,49","19,20","1.003,14","18,86","77,29"
9 DE JULIO_Buenos Aires,2019,5,"30,89","19,09","1.005,13","3,57","64,00"
9 DE JULIO_Buenos Aires,2019,6,"30,24","17,50","1.002,86","0,13","64,57"
9 DE JULIO_Buenos Aires,2019,7,"26,84","13,69","1.008,63","0,01","62,29"
9 DE JULIO_Buenos Aires,2019,8,"30,54","19,17","999,29","3,14","69,71"
9 DE JULIO_Buenos Aires,2019,9,"26,39","11,11","1.004,97","10,57","57,71"
9 DE JULIO_Buenos Aires,2019,10,"26,13","14,77","1.007,81","4,71","73,00"
9 DE JULIO_Buenos Aires,2019,11,"25,07","14,91","1.006,37","3,14","81,43"
9 DE JULIO_Buenos Aires,2019,12,"23,57","10,56","1.008,99","1,57","66,14"
9 DE JULIO_Buenos Aires,2019,13,"25,40","12,16","1.012,10","0,29","69,43"
9 DE JULIO_Buenos Aires,2019,14,"25,97","12,93","1.005,56","3,57","65,57"
9 DE JULIO_Buenos Aires,2019,15,"25,71","11,33","1.006,27","0,64","62,71"
9 DE JULIO_Buenos Aires,2019,16,"24,47","10,79","1.007,31","0,00","68,14"
9 DE JULIO_Buenos Aires,2019,17,"20,94","10,56","1.010,33","3,71","77,43"
9 DE JULIO_Buenos Aires,2019,18,"21,80","10,83","1.004,53","2,43","72,00"
9 DE JULIO_Buenos Aires,2019,19,"19,71","8,39","1.008,03","4,74","77,57"
9 DE JULIO_Buenos Aires,2019,20,"20,41","8,20","1.012,43","3,14","75,29"
9 DE JULIO_Buenos Aires,2019,21,"16,46","5,19","1.009,06","0,73","76,86"
9 DE JULIO_Buenos Aires,2019,22,"15,47","5,53","1.009,46","0,57","83,86"
9 DE JULIO_Buenos Aires,2019,23,"18,77","7,36","1.008,34","0,00","70,00"
9 DE JULIO_Buenos Aires,2019,24,"15,77","9,09","1.007,20","5,96","91,17"
9 DE JULIO_Buenos Aires,2019,25,"16,54","7,16","1.006,91","1,64","80,57"
9 DE JULIO_Buenos Aires,2019,26,"13,44","4,40","1.002,76","0,33","73,71"
9 DE JULIO_Buenos Aires,2019,27,"12,40","0,27","1.011,53","0,00","64,00"
9 DE JULIO_Buenos Aires,2019,28,"16,89","4,13","1.008,94","0,00","72,00"
9 DE JULIO_Buenos Aires,2019,29,"17,79","5,94","1.007,04","0,00","70,29"
9 DE JULIO_Buenos Aires,2019,30,"14,00","3,74","1.016,23","0,63","69,57"
9 DE JULIO_Buenos Aires,2019,31,"17,19","4,84","1.009,82","0,00","62,17"
9 DE JULIO_Buenos Aires,2019,32,"18,14","3,54","1.010,51","0,00","58,57"
9 DE JULIO_Buenos Aires,2019,33,"15,59","2,26","1.014,90","0,00","60,86"
9 DE JULIO_Buenos Aires,2019,34,"16,26","3,76","1.017,16","0,00","62,86"
9 DE JULIO_Buenos Aires,2019,35,"21,40","8,40","1.007,76","0,03","60,14"
9 DE JULIO_Buenos Aires,2019,36,"15,67","2,63","1.012,97","0,00","63,17"
9 DE JULIO_Buenos Aires,2019,37,"19,06","6,60","1.007,83","0,19","69,14"
9 DE JULIO_Buenos Aires,2019,38,"21,27","5,54","1.007,81","0,00","37,86"
9 DE JULIO_Buenos Aires,2019,39,"28,27","9,89","1.008,61","0,00","46,86"
9 DE JULIO_Buenos Aires,2019,40,"19,84","7,79","1.008,90","1,71","55,43"
9 DE JULIO_Buenos Aires,2019,41,"25,50","12,37","1.003,70","4,71","59,57"
9 DE JULIO_Buenos Aires,2019,42,"19,36","9,04","1.013,81","2,59","70,71"
9 DE JULIO_Buenos Aires,2019,43,"25,94","11,13","1.004,01","4,89","53,57"
9 DE JULIO_Buenos Aires,2019,44,"24,27","11,83","1.003,54","0,71","63,86"
9 DE JULIO_Buenos Aires,2019,45,"26,87","12,41","1.005,13","1,71","58,71"
9 DE JULIO_Buenos Aires,2019,46,"30,41","15,94","1.002,06","0,86","56,71"
9 DE JULIO_Buenos Aires,2019,47,"29,69","14,60","1.005,94","9,86","51,29"
9 DE JULIO_Buenos Aires,2019,48,"27,29","13,50","1.002,97","0,11","46,86"
9 DE JULIO_Buenos Aires,2019,49,"28,59","12,50","1.003,07","1,14","47,00"
9 DE JULIO_Buenos Aires,2019,50,"31,89","16,00","1.000,36","0,59","44,00"
9 DE JULIO_Buenos Aires,2019,51,"30,31","13,74","1.003,13","4,19","51,29"
9 DE JULIO_Buenos Aires,2019,52,"29,69","16,39","1.002,29","12,29","69,00"
9 DE JULIO_Buenos Aires,2020,1,"28,84","17,40","1.003,77","9,29","72,57"
9 DE JULIO_Buenos Aires,2020,2,"29,36","15,19","1.000,47","0,00","49,86"
9 DE JULIO_Buenos Aires,2020,3,"29,24","15,99","1.004,07","5,86","58,14"
9 DE JULIO_Buenos Aires,2020,4,"32,43","19,59","1.001,66","1,71","64,29"
9 DE JULIO_Buenos Aires,2020,5,"29,93","14,11","1.003,86","0,43","55,57"
9 DE JULIO_Buenos Aires,2020,6,"30,54","18,13","1.004,63","3,13","68,00"
9 DE JULIO_Buenos Aires,2020,7,"29,94","14,77","1.003,64","0,71","61,43"
9 DE JULIO_Buenos Aires,2020,8,"25,91","11,96","1.006,96","4,29","59,71"
9 DE JULIO_Buenos Aires,2020,9,"31,17","13,90","1.004,86","0,00","54,71"
9 DE JULIO_Buenos Aires,2020,10,"31,94","17,90","1.005,20","0,50","57,29"
9 DE JULIO_Buenos Aires,2020,11,"26,63","14,97","1.006,16","19,71","78,86"
9 DE JULIO_Buenos Aires,2020,12,"26,97","12,97","1.004,74","5,71","68,43"
9 DE JULIO_Buenos Aires,2020,13,"28,66","16,57","1.005,41","7,69","75,43"
9 DE JULIO_Buenos Aires,2020,14,"24,54","13,73","1.005,87","3,86","73,17"
9 DE JULIO_Buenos Aires,2020,15,"21,96","8,14","1.012,70","1,71","62,71"
9 DE JULIO_Buenos Aires,2020,16,"23,69","8,54","1.010,30","0,00","66,43"
9 DE JULIO_Buenos Aires,2020,17,"23,44","13,11","1.007,67","5,11","73,29"
9 DE JULIO_Buenos Aires,2020,18,"20,17","10,61","1.009,29","5,27","77,86"
9 DE JULIO_Buenos Aires,2020,19,"20,07","6,99","1.007,17","0,57","69,86"
9 DE JULIO_Buenos Aires,2020,20,"21,51","7,86","1.007,67","0,00","61,29"
9 DE JULIO_Buenos Aires,2020,21,"19,91","7,69","1.007,76","0,00","69,00"
9 DE JULIO_Buenos Aires,2020,22,"18,20","5,97","1.007,03","0,01","73,86"
9 DE JULIO_Buenos Aires,2020,23,"16,07","5,63","1.010,83","0,02","81,33"
9 DE JULIO_Buenos Aires,2020,24,"17,83","5,77","1.006,36","0,00","66,57"
9 DE JULIO_Buenos Aires,2020,25,"19,06","7,40","1.002,46","2,29","73,00"
9 DE JULIO_Buenos Aires,2020,26,"14,51","4,14","1.007,60","0,07","72,14"
9 DE JULIO_Buenos Aires,2020,27,"12,86","4,36","1.006,57","3,24","77,57"
9 DE JULIO_Buenos Aires,2020,28,"12,87","2,06","1.008,40","0,00","68,57"
9 DE JULIO_Buenos Aires,2020,29,"14,31","4,13","1.007,69","0,01","69,29"
9 DE JULIO_Buenos Aires,2020,30,"13,51","6,66","1.004,74","0,46","80,29"
9 DE JULIO_Buenos Aires,2020,31,"16,19","2,39","1.012,80","0,00","59,57"
9 DE JULIO_Buenos Aires,2020,32,"19,86","9,74","1.009,86","0,00","73,71"
9 DE JULIO_Buenos Aires,2020,33,"17,47","2,13","1.004,26","0,00","40,14"
9 DE JULIO_Buenos Aires,2020,34,"17,80","2,01","1.011,91","0,00","44,43"
9 DE JULIO_Buenos Aires,2020,35,"19,14","7,20","1.005,76","1,46","69,43"
9 DE JULIO_Buenos Aires,2020,36,"14,34","5,27","1.015,24","3,43","70,00"
9 DE JULIO_Buenos Aires,2020,37,"20,57","6,19","1.008,21","1,71","62,71"
9 DE JULIO_Buenos Aires,2020,38,"20,97","5,70","1.010,27","0,00","45,71"
9 DE JULIO_Buenos Aires,2020,39,"21,06","9,09","1.007,17","8,94","66,00"
9 DE JULIO_Buenos Aires,2020,40,"19,57","7,31","1.007,76","0,14","62,00"
9 DE JULIO_Buenos Aires,2020,41,"21,94","8,00","1.006,41","0,03","54,14"
9 DE JULIO_Buenos Aires,2020,42,"28,74","11,40","1.006,10","4,57","58,14"
9 DE JULIO_Buenos Aires,2020,43,"21,33","13,04","1.006,87","13,71","81,50"
9 DE JULIO_Buenos Aires,2020,44,"22,06","9,13","1.010,20","0,83","61,71"
9 DE JULIO_Buenos Aires,2020,45,"26,59","13,56","1.009,70","0,43","56,71"
9 DE JULIO_Buenos Aires,2020,46,"27,90","15,09","1.005,57","0,86","61,14"
9 DE JULIO_Buenos Aires,2020,47,"28,99","13,34","1.006,26","0,00","50,14"
9 DE JULIO_Buenos Aires,2020,48,"29,73","16,66","1.002,77","2,57","53,57"
9 DE JULIO_Buenos Aires,2020,49,"27,27","11,27","1.007,73","0,07","44,00"
9 DE JULIO_Buenos Aires,2020,50,"32,04","14,89","1.001,19","2,86","41,14"
9 DE JULIO_Buenos Aires,2020,51,"29,91","13,80","1.000,34","1,57","43,14"
9 DE JULIO_Buenos Aires,2020,52,"33,74","16,33","1.003,83","0,00","43,57"
9 DE JULIO_Buenos Aires,2020,53,"32,50","16,74","1.002,40","5,86","50,43"
9 DE JULIO_Buenos Aires,2021,1,"30,11","17,01","1.000,23","10,07","63,00"
9 DE JULIO_Buenos Aires,2021,2,"27,67","15,16","1.003,79","2,14","58,43"
9 DE JULIO_Buenos Aires,2021,3,"33,67","17,51","1.007,18","0,00","48,33"
9 DE JULIO_Buenos Aires,2021,4,"30,89","17,59","998,93","8,43","56,43"
9 DE JULIO_Buenos Aires,2021,5,"28,39","15,26","1.006,09","0,14","65,86"
9 DE JULIO_Buenos Aires,2021,6,"27,47","15,67","1.005,36","0,50","70,71"
9 DE JULIO_Buenos Aires,2021,7,"29,26","13,76","1.002,83","0,57","48,57"
9 DE JULIO_Buenos Aires,2021,8,"32,59","16,11","1.004,94","1,64","53,86"
9 DE JULIO_Buenos Aires,2021,9,"30,17","16,96","1.004,36","0,19","65,00"
9 DE JULIO_Buenos Aires,2021,10,"30,74","14,44","1.005,60","0,00","54,43"
9 DE JULIO_Buenos Aires,2021,11,"22,31","12,41","1.007,00","5,43","72,00"
9 DE JULIO_Buenos Aires,2021,12,"24,07","14,04","1.005,73","4,44","81,71"
9 DE JULIO_Buenos Aires,2021,13,"26,40","11,73","1.008,94","0,00","65,43"
9 DE JULIO_Buenos Aires,2021,14,"26,20","15,27","1.004,11","5,14","78,57"
9 DE JULIO_Buenos Aires,2021,15,"27,03","11,13","1.007,34","0,00","67,29"
9 DE JULIO_Buenos Aires,2021,16,"24,37","12,59","1.007,50","7,00","75,00"
9 DE JULIO_Buenos Aires,2021,17,"25,16","8,69","1.008,29","1,86","69,29"
9 DE JULIO_Buenos Aires,2021,18,"18,21","6,41","1.013,96","0,04","70,57"
9 DE JULIO_Buenos Aires,2021,19,"20,29","4,27","1.011,87","0,00","60,86"
9 DE JULIO_Buenos Aires,2021,20,"15,96","8,23","1.005,50","13,40","81,71"
9 DE JULIO_Buenos Aires,2021,21,"18,94","6,00","1.003,93","0,00","60,57"
9 DE JULIO_Buenos Aires,2021,22,"18,13","7,60","1.003,82","0,43","69,17"
9 DE JULIO_Buenos Aires,2021,23,"19,31","7,40","1.008,56","0,00","70,71"
9 DE JULIO_Buenos Aires,2021,24,"12,19","2,06","1.018,63","0,10","67,00"
9 DE JULIO_Buenos Aires,2021,25,"14,06","5,04","1.008,20","1,10","80,86"
9 DE JULIO_Buenos Aires,2021,26,"14,27","1,91","1.013,96","0,00","66,57"
9 DE JULIO_Buenos Aires,2021,27,"18,41","7,06","1.007,67","0,73","73,86"
9 DE JULIO_Buenos Aires,2021,28,"14,46","3,29","1.009,99","0,57","69,71"
9 DE JULIO_Buenos Aires,2021,29,"18,84","4,31","1.007,94","0,00","65,43"
9 DE JULIO_Buenos Aires,2021,30,"15,26","1,49","1.016,20","0,00","57,29"
9 DE JULIO_Buenos Aires,2021,31,"20,31","4,66","1.012,35","6,57","74,33"
9 DE JULIO_Buenos Aires,2021,32,"14,43","1,56","1.016,77","0,00","70,29"
9 DE JULIO_Buenos Aires,2021,33,"20,64","8,53","1.002,50","1,14","63,17"
9 DE JULIO_Buenos Aires,2021,34,"19,21","5,10","1.009,28","0,00","50,00"
9 DE JULIO_Buenos Aires,2021,35,"20,81","11,11","1.007,76","8,00","80,14"
9 DE JULIO_Buenos Aires,2021,36,"16,71","10,20","1.004,36","6,43","85,29"
9 DE JULIO_Buenos Aires,2021,37,"22,59","8,20","1.007,81","0,00","58,14"
9 DE JULIO_Buenos Aires,2021,38,"20,10","8,69","1.012,86","0,00","67,43"
9 DE JULIO_Buenos Aires,2021,39,"19,21","8,07","1.006,76","2,74","69,14"
9 DE JULIO_Buenos Aires,2021,40,"21,30","7,27","1.009,91","0,00","53,57"
9 DE JULIO_Buenos Aires,2021,41,"22,79","9,29","1.006,76","0,44","69,71"
9 DE JULIO_Buenos Aires,2021,42,"25,51","10,23","1.006,29","2,27","60,14"
9 DE JULIO_Buenos Aires,2021,43,"31,84","15,64","1.006,63","3,71","54,86"
9 DE JULIO_Buenos Aires,2021,44,"22,36","12,29","1.008,33","2,86","72,57"
9 DE JULIO_Buenos Aires,2021,45,"27,19","13,57","1.007,04","3,93","60,00"
9 DE JULIO_Buenos Aires,2021,46,"29,06","12,14","1.004,44","1,00","51,57"
9 DE JULIO_Buenos Aires,2021,47,"29,54","15,54","1.000,77","9,43","59,57"
9 DE JULIO_Buenos Aires,2021,48,"26,56","14,47","1.005,08","5,46","65,67"
9 DE JULIO_Buenos Aires,2021,49,"28,36","16,80","1.004,59","3,70","68,71"
9 DE JULIO_Buenos Aires,2021,50,"29,14","15,03","1.006,19","0,43","60,14"
9 DE JULIO_Buenos Aires,2021,51,"32,89","18,39","1.002,86","0,43","56,71"
9 DE JULIO_Buenos Aires,2021,52,"36,18","19,68","999,18","1,00","49,40"
AZUL_Buenos Aires,2019,1,"27,57","15,28","991,72","5,20","72,17"
AZUL_Buenos Aires,2019,2,"25,60","13,33","994,31","10,04","71,71"
AZUL_Buenos Aires,2019,3,"26,10","13,20","999,69","0,00","72,57"
AZUL_Buenos Aires,2019,4,"28,83","16,03","995,37","3,29","80,00"
AZUL_Buenos Aires,2019,5,"29,30","16,41","996,26","0,00","72,00"
AZUL_Buenos Aires,2019,6,"29,07","14,39","994,86","0,00","69,43"
AZUL_Buenos Aires,2019,7,"27,19","11,51","999,69","0,00","64,86"
AZUL_Buenos Aires,2019,8,"29,53","15,73","990,84","11,29","72,43"
AZUL_Buenos Aires,2019,9,"24,26","8,03","996,11","4,71","68,86"
AZUL_Buenos Aires,2019,10,"25,19","11,93","999,09","0,00","76,86"
AZUL_Buenos Aires,2019,11,"24,16","13,46","998,69","5,29","85,14"
AZUL_Buenos Aires,2019,12,"21,13","8,97","1.000,00","1,01","75,71"
AZUL_Buenos Aires,2019,13,"23,74","9,04","1.004,26","0,09","79,57"
AZUL_Buenos Aires,2019,14,"24,16","8,99","996,51","7,03","75,43"
AZUL_Buenos Aires,2019,15,"23,73","8,37","997,87","1,14","73,57"
AZUL_Buenos Aires,2019,16,"22,53","7,16","998,67","0,00","75,00"
AZUL_Buenos Aires,2019,17,"20,13","6,94","1.002,64","0,11","81,71"
AZUL_Buenos Aires,2019,18,"21,03","8,19","995,41","0,01","70,71"
AZUL_Buenos Aires,2019,19,"18,26","7,06","999,37","2,34","83,00"
AZUL_Buenos Aires,2019,20,"18,51","5,06","1.004,29","3,71","82,86"
AZUL_Buenos Aires,2019,21,"15,73","3,13","1.000,40","0,00","79,14"
AZUL_Buenos Aires,2019,22,"15,11","3,24","1.000,43","0,01","82,57"
AZUL_Buenos Aires,2019,23,"17,36","5,61","999,24","0,00","73,86"
AZUL_Buenos Aires,2019,24,"14,59","6,67","999,63","6,76","86,57"
AZUL_Buenos Aires,2019,25,"14,47","6,46","997,37","5,69","87,43"
AZUL_Buenos Aires,2019,26,"11,93","3,26","993,30","0,06","77,29"
AZUL_Buenos Aires,2019,27,"10,49","-1,19","1.000,86","0,00","71,71"
AZUL_Buenos Aires,2019,28,"14,69","0,91","1.000,69","0,10","81,71"
AZUL_Buenos Aires,2019,29,"15,80","2,47","998,56","0,14","77,14"
AZUL_Buenos Aires,2019,30,"13,20","0,54","1.007,36","0,14","76,71"
AZUL_Buenos Aires,2019,31,"15,26","3,24","1.000,63","0,00","68,71"
AZUL_Buenos Aires,2019,32,"16,23","-0,20","1.001,83","0,00","66,57"
AZUL_Buenos Aires,2019,33,"13,11","-0,81","1.005,53","0,00","73,43"
AZUL_Buenos Aires,2019,34,"14,64","1,41","1.009,06","0,00","72,71"
AZUL_Buenos Aires,2019,35,"19,51","4,77","998,89","0,07","69,00"
AZUL_Buenos Aires,2019,36,"13,70","0,09","1.004,97","0,00","74,29"
AZUL_Buenos Aires,2019,37,"17,34","3,73","999,79","1,57","80,57"
AZUL_Buenos Aires,2019,38,"18,29","1,59","997,76","0,00","52,14"
AZUL_Buenos Aires,2019,39,"24,49","5,76","1.001,59","0,09","59,29"
AZUL_Buenos Aires,2019,40,"18,77","3,96","1.000,67","0,86","66,86"
AZUL_Buenos Aires,2019,41,"22,96","6,29","994,86","1,86","63,86"
AZUL_Buenos Aires,2019,42,"18,23","6,77","1.006,23","5,50","74,71"
AZUL_Buenos Aires,2019,43,"22,61","6,91","995,44","1,00","66,29"
AZUL_Buenos Aires,2019,44,"22,16","7,47","995,90","2,46","74,14"
AZUL_Buenos Aires,2019,45,"24,29","7,99","997,09","0,17","61,00"
AZUL_Buenos Aires,2019,46,"28,43","13,07","994,13","1,43","68,57"
AZUL_Buenos Aires,2019,47,"27,23","11,11","999,14","3,43","63,43"
AZUL_Buenos Aires,2019,48,"24,84","10,57","993,99","0,57","55,57"
AZUL_Buenos Aires,2019,49,"26,49","8,59","994,31","4,86","57,14"
AZUL_Buenos Aires,2019,50,"29,04","12,70","992,06","0,90","55,86"
AZUL_Buenos Aires,2019,51,"28,41","10,37","994,83","1,16","59,43"
AZUL_Buenos Aires,2019,52,"29,93","15,00","994,09","5,00","68,29"
AZUL_Buenos Aires,2020,1,"27,41","16,03","996,13","4,71","78,00"
AZUL_Buenos Aires,2020,2,"28,26","12,13","991,63","2,29","56,71"
AZUL_Buenos Aires,2020,3,"27,63","11,56","996,20","0,73","63,43"
AZUL_Buenos Aires,2020,4,"32,60","16,84","993,63","0,71","68,00"
AZUL_Buenos Aires,2020,5,"29,96","12,21","995,26","1,00","55,86"
AZUL_Buenos Aires,2020,6,"30,29","15,76","996,97","0,34","71,71"
AZUL_Buenos Aires,2020,7,"29,41","13,49","995,86","3,71","65,29"
AZUL_Buenos Aires,2020,8,"24,97","11,24","997,91","4,86","68,43"
AZUL_Buenos Aires,2020,9,"29,91","11,71","996,29","0,00","59,00"
AZUL_Buenos Aires,2020,10,"32,46","15,54","997,59","0,29","63,43"
AZUL_Buenos Aires,2020,11,"26,71","13,53","998,41","9,00","74,71"
AZUL_Buenos Aires,2020,12,"24,67","11,10","996,37","3,86","76,29"
AZUL_Buenos Aires,2020,13,"27,01","15,61","997,99","2,29","79,29"
AZUL_Buenos Aires,2020,14,"21,41","11,33","998,46","9,57","84,71"
AZUL_Buenos Aires,2020,15,"20,09","5,56","1.004,37","3,57","77,29"
AZUL_Buenos Aires,2020,16,"21,23","7,19","1.001,77","0,43","75,71"
AZUL_Buenos Aires,2020,17,"21,17","9,84","1.000,31","0,14","82,71"
AZUL_Buenos Aires,2020,18,"17,87","8,89","1.000,83","11,80","86,43"
AZUL_Buenos Aires,2020,19,"17,99","6,54","997,80","0,86","78,29"
AZUL_Buenos Aires,2020,20,"18,61","4,49","998,20","0,00","70,14"
AZUL_Buenos Aires,2020,21,"17,26","5,50","999,57","2,21","79,71"
AZUL_Buenos Aires,2020,22,"14,41","6,11","997,49","0,00","85,29"
AZUL_Buenos Aires,2020,23,"14,86","3,46","1.003,17","0,01","86,71"
AZUL_Buenos Aires,2020,24,"15,73","2,76","996,84","0,00","70,57"
AZUL_Buenos Aires,2020,25,"15,43","5,17","994,11","2,44","83,86"
AZUL_Buenos Aires,2020,26,"11,24","0,61","999,17","2,43","83,86"
AZUL_Buenos Aires,2020,27,"10,34","2,71","997,97","2,71","86,29"
AZUL_Buenos Aires,2020,28,"10,76","-0,03","999,09","0,00","76,86"
AZUL_Buenos Aires,2020,29,"12,77","2,04","999,36","0,09","76,86"
AZUL_Buenos Aires,2020,30,"11,96","5,69","995,53","1,33","85,86"
AZUL_Buenos Aires,2020,31,"14,36","0,49","1.004,03","0,00","69,29"
AZUL_Buenos Aires,2020,32,"16,96","5,01","1.002,50","0,00","80,43"
AZUL_Buenos Aires,2020,33,"14,90","0,54","994,13","0,00","54,71"
AZUL_Buenos Aires,2020,34,"15,84","-0,26","1.002,66","0,00","53,29"
AZUL_Buenos Aires,2020,35,"17,61","4,23","997,69","1,00","76,57"
AZUL_Buenos Aires,2020,36,"13,47","1,56","1.007,30","0,71","75,00"
AZUL_Buenos Aires,2020,37,"17,27","3,19","1.000,23","1,86","71,86"
AZUL_Buenos Aires,2020,38,"18,77","2,20","1.000,84","0,00","52,71"
AZUL_Buenos Aires,2020,39,"18,79","5,37","999,53","7,14","73,29"
AZUL_Buenos Aires,2020,40,"17,59","3,86","999,87","0,00","64,29"
AZUL_Buenos Aires,2020,41,"19,80","4,11","997,41","0,93","64,00"
AZUL_Buenos Aires,2020,42,"26,19","8,36","998,67","8,86","68,29"
AZUL_Buenos Aires,2020,43,"18,91","9,91","1.000,76","9,14","82,00"
AZUL_Buenos Aires,2020,44,"20,23","5,94","1.001,51","0,71","66,29"
AZUL_Buenos Aires,2020,45,"24,90","10,27","1.002,37","0,14","68,86"
AZUL_Buenos Aires,2020,46,"25,17","12,76","998,16","3,86","76,00"
AZUL_Buenos Aires,2020,47,"26,57","8,46","998,70","0,00","64,43"
AZUL_Buenos Aires,2020,48,"26,36","13,61","994,80","4,17","63,29"
AZUL_Buenos Aires,2020,49,"24,86","7,21","999,77","0,00","56,86"
AZUL_Buenos Aires,2020,50,"30,30","12,14","993,09","1,29","49,29"
AZUL_Buenos Aires,2020,51,"28,23","12,06","990,70","2,14","51,43"
AZUL_Buenos Aires,2020,52,"32,63","14,83","996,09","0,00","53,57"
AZUL_Buenos Aires,2020,53,"31,54","14,49","994,00","4,57","62,00"
AZUL_Buenos Aires,2021,1,"27,91","15,57","992,20","10,86","73,29"
AZUL_Buenos Aires,2021,2,"26,00","13,03","995,23","3,14","65,00"
AZUL_Buenos Aires,2021,3,"32,57","14,09","998,17","0,00","57,86"
AZUL_Buenos Aires,2021,4,"28,71","14,99","990,99","2,29","63,86"
AZUL_Buenos Aires,2021,5,"28,61","12,23","998,10","2,71","72,57"
AZUL_Buenos Aires,2021,6,"26,06","14,47","998,01","1,86","80,43"
AZUL_Buenos Aires,2021,7,"28,43","10,99","993,63","7,43","61,14"
AZUL_Buenos Aires,2021,8,"29,47","13,50","997,04","0,14","66,57"
AZUL_Buenos Aires,2021,9,"28,56","15,61","996,74","0,01","75,14"
AZUL_Buenos Aires,2021,10,"28,19","10,96","997,53","0,00","65,29"
AZUL_Buenos Aires,2021,11,"22,01","10,90","998,49","9,53","76,57"
AZUL_Buenos Aires,2021,12,"22,70","12,27","998,21","17,00","83,14"
AZUL_Buenos Aires,2021,13,"23,43","10,09","1.001,63","0,00","80,14"
AZUL_Buenos Aires,2021,14,"24,13","14,59","996,69","11,29","84,71"
AZUL_Buenos Aires,2021,15,"24,06","9,33","999,34","0,00","78,43"
AZUL_Buenos Aires,2021,16,"22,41","13,13","999,89","4,79","83,86"
AZUL_Buenos Aires,2021,17,"22,40","8,44","1.000,17","1,43","76,71"
AZUL_Buenos Aires,2021,18,"16,23","3,59","1.005,30","1,00","80,14"
AZUL_Buenos Aires,2021,19,"18,13","2,31","1.002,90","0,00","70,14"
AZUL_Buenos Aires,2021,20,"14,71","5,83","997,56","10,14","87,00"
AZUL_Buenos Aires,2021,21,"15,34","3,84","993,49","0,00","69,57"
AZUL_Buenos Aires,2021,22,"15,90","5,64","995,51","0,04","72,00"
AZUL_Buenos Aires,2021,23,"16,69","4,90","999,84","0,00","81,14"
AZUL_Buenos Aires,2021,24,"10,91","0,44","1.009,50","0,00","78,14"
AZUL_Buenos Aires,2021,25,"12,20","4,17","999,43","0,93","85,29"
AZUL_Buenos Aires,2021,26,"12,70","1,79","1.004,07","0,00","76,71"
AZUL_Buenos Aires,2021,27,"14,56","3,43","999,73","1,57","85,43"
AZUL_Buenos Aires,2021,28,"13,33","0,40","1.000,37","0,00","75,43"
AZUL_Buenos Aires,2021,29,"15,70","1,47","999,81","0,86","74,29"
AZUL_Buenos Aires,2021,30,"12,93","-0,29","1.006,16","0,03","68,00"
AZUL_Buenos Aires,2021,31,"16,71","2,03","1.005,60","2,14","79,00"
AZUL_Buenos Aires,2021,32,"12,47","-2,63","1.008,34","0,00","79,00"
AZUL_Buenos Aires,2021,33,"16,90","5,54","993,87","0,59","75,86"
AZUL_Buenos Aires,2021,34,"17,87","0,24","999,49","0,00","57,71"
AZUL_Buenos Aires,2021,35,"19,46","7,29","1.000,50","8,57","84,29"
AZUL_Buenos Aires,2021,36,"14,97","9,60","996,94","14,97","90,00"
AZUL_Buenos Aires,2021,37,"19,40","6,30","999,61","0,14","73,14"
AZUL_Buenos Aires,2021,38,"17,36","5,89","1.004,93","1,29","82,14"
AZUL_Buenos Aires,2021,39,"16,23","4,80","998,50","4,79","80,43"
AZUL_Buenos Aires,2021,40,"18,23","2,29","1.001,74","0,00","71,43"
AZUL_Buenos Aires,2021,41,"20,04","8,87","997,99","1,27","76,43"
AZUL_Buenos Aires,2021,42,"22,41","6,79","998,03","2,71","71,29"
AZUL_Buenos Aires,2021,43,"27,80","12,43","998,43","1,57","64,14"
AZUL_Buenos Aires,2021,44,"21,37","9,47","1.000,60","2,69","78,57"
AZUL_Buenos Aires,2021,45,"24,80","11,06","999,63","2,03","69,71"
AZUL_Buenos Aires,2021,46,"26,54","8,74","995,94","0,00","58,57"
AZUL_Buenos Aires,2021,47,"27,53","11,89","992,70","10,71","65,29"
AZUL_Buenos Aires,2021,48,"23,51","11,51","998,27","3,57","74,43"
AZUL_Buenos Aires,2021,49,"26,81","14,36","997,04","6,74","75,57"
AZUL_Buenos Aires,2021,50,"27,64","12,80","998,54","0,03","66,00"
AZUL_Buenos Aires,2021,51,"30,83","14,77","995,13","1,86","66,29"
AZUL_Buenos Aires,2021,52,"33,18","15,22","991,62","0,00","56,80"
BAHÍA BLANCA_Buenos Aires,2019,1,"30,62","14,63","998,48","1,83","59,67"
BAHÍA BLANCA_Buenos Aires,2019,2,"28,76","14,96","1.001,63","0,03","45,29"
BAHÍA BLANCA_Buenos Aires,2019,3,"30,34","14,76","1.006,49","0,00","48,29"
BAHÍA BLANCA_Buenos Aires,2019,4,"33,34","18,26","1.001,54","0,57","52,57"
BAHÍA BLANCA_Buenos Aires,2019,5,"31,30","15,93","1.004,23","0,00","55,71"
BAHÍA BLANCA_Buenos Aires,2019,6,"32,10","15,73","1.001,24","0,41","52,86"
BAHÍA BLANCA_Buenos Aires,2019,7,"31,39","14,63","1.006,96","0,00","51,86"
